Beijing,253,1,24
Tianjin,69,1,2
Shanghai,243,1,15
Chongqing,389,2,15
Hebei,135,1,6
Henan,764,2,47
Yunnan,128,0,5
Liaoning,89,0,4
Heilongjiang,190,2,7
Hunan,661,0,54
Anhui,530,0,23
Shandong,307,0,15
Xinjiang,32,0,0
Jiangsu,341,0,23
Zhejiang,895,0,78
Jiangxi,548,0,27
Hubei,19665,549,633
Guangxi,150,0,13
Gansu,62,0,6
Shanxi,81,0,5
Inner Mongolia,42,0,3
Shaanxi,165,0,6
Jilin,54,0,2
Fujian,205,0,11
Guizhou,64,1,9
Guangdong,895,0,49
Qinghai,17,0,3
Tibet,1,0,0
Sichuan,301,1,24
Ningxia,34,0,1
Hainan,99,1,5
Taiwan,11,0,0
Hong Kong,21,1,0
Macau,10,0,0
