Beijing,414,8,288,0,0,6
Tianjin,136,3,124,0,0,13
Shanghai,338,3,294,1,0,2
Chongqing,576,6,490,0,0,21
Hebei,318,6,300,0,0,4
Henan,1272,22,1231,0,0,26
Yunnan,174,2,169,0,0,1
Liaoning,125,1,106,3,0,3
Heilongjiang,480,13,366,0,0,10
Hunan,1018,4,906,0,0,19
Anhui,990,6,936,0,0,19
Shandong,758,6,511,0,0,51
Xinjiang,76,3,68,0,0,2
Jiangsu,631,0,562,0,0,19
Zhejiang,1213,1,1093,7,0,24
Jiangxi,935,1,870,0,0,20
Hubei,67217,2835,36208,114,32,2274
Guangxi,252,2,202,0,0,10
Gansu,91,2,86,0,0,1
Shanxi,133,0,124,0,0,5
Inner Mongolia,75,1,59,0,1,5
Shaanxi,245,1,216,0,0,0
Jilin,93,1,83,0,0,0
Fujian,296,1,260,0,0,5
Guizhou,146,2,114,0,0,0
Guangdong,1350,7,1101,0,0,42
Qinghai,18,0,18,0,0,0
Tibet,1,0,1,0,0,0
Sichuan,538,3,394,0,0,8
Ningxia,74,0,69,0,0,0
Hainan,168,5,155,0,0,4
Taiwan,42,1,12,1,0,0
Hong Kong,100,2,37,0,0,1
Macau,10,0,9,0,0,1
