Beijing,577,8,415,0,0,3
Tianjin,174,3,133,8,0,0
Shanghai,498,5,338,6,0,4
Chongqing,579,6,570,0,0,0
Hebei,321,6,310,2,0,0
Henan,1276,22,1251,0,0,0
Yunnan,180,2,172,0,0,0
Liaoning,136,2,124,2,0,0
Heilongjiang,484,13,469,0,0,0
Hunan,1018,4,1014,0,0,0
Anhui,990,6,984,0,0,0
Shandong,773,7,753,1,0,1
Xinjiang,76,3,73,0,0,0
Jiangsu,645,0,631,1,0,0
Zhejiang,1255,1,1225,1,0,0
Jiangxi,937,1,935,0,0,1
Hubei,67801,3186,62889,0,4,319
Guangxi,254,2,250,0,0,0
Gansu,138,2,125,0,0,0
Shanxi,136,0,133,0,0,0
Inner Mongolia,97,1,74,2,0,0
Shaanxi,253,3,242,0,0,0
Jilin,98,1,92,0,0,0
Fujian,340,1,295,2,0,0
Guizhou,146,2,144,0,0,0
Guangdong,1484,8,1351,9,0,2
Qinghai,18,0,18,0,0,0
Tibet,1,0,1,0,0,0
Sichuan,550,3,536,0,0,0
Ningxia,75,0,75,0,0,0
Hainan,168,6,162,0,0,0
Taiwan,306,5,39,8,3,9
Hong Kong,682,4,123,41,0,11
Macau,38,0,10,1,0,0
