Beijing,593,8,525,0,0,1
Tianjin,190,3,181,1,0,2
Shanghai,641,7,558,0,0,25
Chongqing,579,6,573,0,0,0
Hebei,328,6,318,0,0,1
Henan,1276,22,1254,0,0,0
Yunnan,185,2,180,1,0,0
Liaoning,146,2,143,0,0,0
Heilongjiang,930,13,508,2,0,23
Hunan,1019,4,1015,0,0,0
Anhui,991,6,985,0,0,1
Shandong,787,7,767,0,0,1
Xinjiang,76,3,73,0,0,0
Jiangsu,653,0,646,0,0,0
Zhejiang,1268,1,1256,0,0,0
Jiangxi,937,1,936,0,0,0
Hubei,68128,4512,63593,0,0,24
Guangxi,254,2,252,0,0,0
Gansu,139,2,137,0,0,0
Shanxi,197,0,149,0,0,7
Inner Mongolia,197,1,114,3,0,6
Shaanxi,286,3,253,7,0,0
Jilin,109,1,99,1,0,0
Fujian,355,1,349,0,0,3
Guizhou,147,2,145,0,0,0
Guangdong,1585,8,1534,0,0,6
Qinghai,18,0,18,0,0,0
Tibet,1,0,1,0,0,0
Sichuan,561,3,558,0,0,0
Ningxia,75,0,75,0,0,0
Hainan,168,6,162,0,0,0
Taiwan,428,6,264,1,0,11
Hong Kong,1035,4,725,0,0,26
Macau,45,0,27,0,0,0
