Beijing,387,4,122
Tianjin,128,3,48
Shanghai,333,1,177
Chongqing,555,5,254
Hebei,306,4,136
Henan,1257,19,522
Yunnan,172,0,57
Liaoning,121,1,53
Heilongjiang,464,11,111
Hunan,1007,4,527
Anhui,982,6,361
Shandong,543,3,211
Xinjiang,76,1,12
Jiangsu,629,0,280
Zhejiang,1172,0,535
Jiangxi,933,1,310
Hubei,61682,1921,9128
Guangxi,242,2,69
Gansu,91,2,62
Shanxi,131,0,61
Inner Mongolia,73,0,8
Shaanxi,240,0,89
Jilin,89,1,36
Fujian,292,0,93
Guizhou,146,2,66
Guangdong,1328,4,565
Qinghai,18,0,15
Tibet,1,0,1
Sichuan,508,3,169
Ningxia,70,0,42
Hainan,163,4,79
Taiwan,22,1,2
Hong Kong,62,1,2
Macau,10,0,5
