Beijing,573,8,410,4,0,2
Tianjin,161,3,133,6,0,0
Shanghai,485,5,334,17,0,0
Chongqing,578,6,570,0,0,0
Hebei,319,6,310,0,0,0
Henan,1275,22,1251,0,0,1
Yunnan,180,2,172,0,0,0
Liaoning,132,2,124,4,0,0
Heilongjiang,484,13,469,0,0,0
Hunan,1018,4,1014,0,0,0
Anhui,990,6,984,0,0,0
Shandong,772,7,752,0,0,0
Xinjiang,76,3,73,0,0,0
Jiangsu,641,0,631,0,0,0
Zhejiang,1251,1,1225,4,0,3
Jiangxi,936,1,934,0,0,0
Hubei,67801,3177,62098,0,3,366
Guangxi,254,2,250,0,0,0
Gansu,136,2,125,0,0,2
Shanxi,135,0,133,0,0,0
Inner Mongolia,94,1,74,2,0,0
Shaanxi,253,3,242,0,0,0
Jilin,97,1,92,2,0,0
Fujian,337,1,295,6,0,0
Guizhou,146,2,144,0,0,0
Guangdong,1467,8,1341,11,0,4
Qinghai,18,0,18,0,0,0
Tibet,1,0,1,0,0,0
Sichuan,548,3,536,0,0,0
Ningxia,75,0,75,0,0,0
Hainan,168,6,162,0,0,0
Taiwan,283,2,30,16,0,1
Hong Kong,561,4,112,42,0,2
Macau,37,0,10,4,0,0
