Beijing,393,4,145
Tianjin,130,3,54
Shanghai,333,2,186
Chongqing,560,5,274
Hebei,306,4,152
Henan,1262,19,573
Yunnan,172,1,60
Liaoning,121,1,55
Heilongjiang,470,12,120
Hunan,1008,4,561
Anhui,986,6,413
Shandong,544,3,231
Xinjiang,76,1,20
Jiangsu,631,0,318
Zhejiang,1174,0,604
Jiangxi,934,1,362
Hubei,62031,2029,10337
Guangxi,244,2,86
Gansu,91,2,65
Shanxi,131,0,68
Inner Mongolia,75,0,10
Shaanxi,242,0,102
Jilin,90,1,37
Fujian,293,0,112
Guizhou,146,2,70
Guangdong,1331,5,606
Qinghai,18,0,16
Tibet,1,0,1
Sichuan,514,3,188
Ningxia,71,0,42
Hainan,168,4,84
Taiwan,23,1,2
Hong Kong,63,2,5
Macau,10,0,5
