Beijing,586,8,441,1,0,3
Tianjin,180,3,144,0,0,0
Shanghai,531,6,383,2,0,27
Chongqing,579,6,570,0,0,0
Hebei,327,6,310,1,0,0
Henan,1276,22,1251,0,0,0
Yunnan,184,2,172,0,0,0
Liaoning,142,2,126,1,0,1
Heilongjiang,504,13,469,13,0,0
Hunan,1019,4,1014,0,0,0
Anhui,990,6,984,0,0,0
Shandong,779,7,755,1,0,0
Xinjiang,76,3,73,0,0,0
Jiangsu,651,0,633,0,0,1
Zhejiang,1263,1,1230,1,0,1
Jiangxi,937,1,935,0,0,0
Hubei,67803,3210,63945,0,3,183
Guangxi,254,2,252,0,0,0
Gansu,138,2,131,0,0,0
Shanxi,138,0,133,1,0,0
Inner Mongolia,117,1,74,0,0,0
Shaanxi,256,3,245,0,0,0
Jilin,98,1,92,0,0,0
Fujian,350,1,303,0,0,2
Guizhou,146,2,144,0,0,0
Guangdong,1524,8,1387,8,0,9
Qinghai,18,0,18,0,0,0
Tibet,1,0,1,0,0,0
Sichuan,558,3,539,1,0,1
Ningxia,75,0,75,0,0,0
Hainan,168,6,162,0,0,0
Taiwan,363,5,50,8,0,0
Hong Kong,890,4,206,28,0,33
Macau,44,0,10,1,0,0
