Beijing,413,8,276,2,0,5
Tianjin,136,3,111,0,0,2
Shanghai,337,3,290,0,0,3
Chongqing,576,6,450,0,0,12
Hebei,318,6,294,0,0,12
Henan,1272,22,1198,0,1,28
Yunnan,174,2,163,0,0,6
Liaoning,122,1,103,1,0,7
Heilongjiang,480,13,342,0,0,41
Hunan,1018,4,866,0,0,20
Anhui,990,6,873,0,0,5
Shandong,758,6,443,2,0,22
Xinjiang,76,3,64,0,0,2
Jiangsu,631,0,536,0,0,13
Zhejiang,1205,1,1046,0,0,30
Jiangxi,935,1,831,0,0,20
Hubei,66907,2761,31536,570,34,2543
Guangxi,252,2,181,0,0,5
Gansu,91,2,84,0,0,2
Shanxi,133,0,116,0,0,2
Inner Mongolia,75,0,52,0,0,3
Shaanxi,245,1,208,0,0,1
Jilin,93,1,78,0,0,3
Fujian,296,1,247,0,0,4
Guizhou,146,2,112,0,0,0
Guangdong,1349,7,1016,0,0,33
Qinghai,18,0,18,0,0,0
Tibet,1,0,1,0,0,0
Sichuan,538,3,365,0,0,14
Ningxia,73,0,69,0,0,0
Hainan,168,5,149,0,0,1
Taiwan,40,1,9,1,0,0
Hong Kong,96,2,36,1,0,3
Macau,10,0,8,0,0,0
