Beijing,326,2,37,11,0,3
Tianjin,91,1,4,3,0,0
Shanghai,293,1,44,7,0,3
Chongqing,468,2,51,40,0,12
Hebei,206,2,34,11,1,4
Henan,1033,6,153,52,2,37
Yunnan,141,0,18,3,0,1
Liaoning,107,0,12,2,0,4
Heilongjiang,307,6,14,12,1,1
Hunan,838,1,186,35,0,30
Anhui,779,1,72,46,1,13
Shandong,444,1,63,28,1,19
Xinjiang,45,0,0,3,0,0
Jiangsu,468,0,71,29,0,20
Zhejiang,1075,0,201,27,0,26
Jiangxi,740,0,73,42,0,18
Hubei,29631,871,1795,2531,91,356
Guangxi,195,1,18,12,1,1
Gansu,83,2,16,4,1,4
Shanxi,119,0,25,4,0,4
Inner Mongolia,54,0,5,2,0,0
Shaanxi,208,0,25,13,0,5
Jilin,78,1,12,9,0,8
Fujian,250,0,35,11,0,11
Guizhou,99,1,7,10,0,0
Guangdong,1131,1,141,36,0,29
Qinghai,18,0,3,0,0,0
Tibet,1,0,0,0,0,0
Sichuan,386,1,71,22,0,11
Ningxia,45,0,13,0,0,-2
Hainan,131,3,19,7,1,5
Taiwan,18,0,1,1,0,0
Hong Kong,29,1,0,3,0,0
Macau,10,0,1,0,0,0
