Beijing,588,8,464,0,0,9
Tianjin,182,3,152,2,0,0
Shanghai,552,7,422,9,0,4
Chongqing,579,6,570,0,0,0
Hebei,327,6,313,0,0,1
Henan,1276,22,1252,0,0,0
Yunnan,184,2,173,0,0,0
Liaoning,144,2,132,0,0,1
Heilongjiang,609,13,470,40,0,0
Hunan,1019,4,1014,0,0,0
Anhui,991,6,984,1,0,0
Shandong,783,7,756,0,0,1
Xinjiang,76,3,73,0,0,0
Jiangsu,651,0,633,0,0,0
Zhejiang,1267,1,1235,1,0,3
Jiangxi,937,1,935,0,0,0
Hubei,67803,3215,64187,0,2,45
Guangxi,254,2,252,0,0,0
Gansu,139,2,135,0,0,2
Shanxi,166,0,134,3,0,0
Inner Mongolia,126,1,79,2,0,5
Shaanxi,256,3,246,0,0,0
Jilin,98,1,93,0,0,0
Fujian,351,1,308,0,0,0
Guizhou,146,2,144,0,0,0
Guangdong,1539,8,1423,3,0,12
Qinghai,18,0,18,0,0,0
Tibet,1,0,1,0,0,0
Sichuan,560,3,541,0,0,0
Ningxia,75,0,75,0,0,0
Hainan,168,6,162,0,0,0
Taiwan,380,5,67,1,0,6
Hong Kong,973,4,293,13,0,29
Macau,45,0,10,0,0,0
