Beijing,228,1,23
Tianjin,67,0,2
Shanghai,219,1,12
Chongqing,366,2,9
Hebei,126,1,4
Henan,675,2,27
Yunnan,122,0,5
Liaoning,81,0,2
Heilongjiang,155,2,4
Hunan,593,0,31
Anhui,480,0,20
Shandong,275,0,11
Xinjiang,29,0,0
Jiangsu,308,0,12
Zhejiang,829,0,62
Jiangxi,476,0,20
Hubei,16678,479,522
Guangxi,139,0,10
Gansu,57,0,4
Shanxi,81,0,4
Inner Mongolia,35,0,1
Shaanxi,142,0,2
Jilin,42,0,1
Fujian,194,0,3
Guizhou,58,0,2
Guangdong,813,0,30
Qinghai,15,0,0
Tibet,1,0,0
Sichuan,282,1,14
Ningxia,34,0,1
Hainan,80,1,5
Taiwan,11,0,0
Hong Kong,17,1,0
Macau,10,0,0
