广西,地区生产总值指数(上年同期=100)_累计值,96.7,106,105.5,105.9,106.4,106.8,107,106.2,107.1,107.3,107,107.2
海南,地区生产总值_累计值,1115.28,5308.93,3819.34,2468.03,1168.35,4910.69,3504.3,2263.69,1079.71,4462.54,3213.68,2198.23
海南,地区生产总值指数(上年同期=100)_累计值,95.5,105.8,105.5,105.3,105.5,105.8,105.4,105.8,105.1,107,107.5,107.5
重庆,地区生产总值_累计值,4987.66,23605.77,16982.4,10973.93,5195,21588.8,15608.62,10642.41,4886.76,19500.27,14309.18,9143.64
重庆,地区生产总值指数(上年同期=100)_累计值,93.5,106.3,106.3,106.2,106,106,106.3,106.5,107,109.3,110,110.5
四川,地区生产总值_累计值,10172.85,46615.82,33536.22,21670.92,10258.89,42902.1,30528.77,19656.13,9330.61,36980.22,27297.19,16080.33
四川,地区生产总值指数(上年同期=100)_累计值,97,107.5,107.8,107.9,107.8,108,108.1,108.2,108.2,108.1,108.1,108.2
贵州,地区生产总值_累计值,3704.04,16769.34,12064.15,7795.79,3690.48,15353.21,10898.91,7047.95,3330.22,13540.83,9499.53,5732.35
贵州,地区生产总值指数(上年同期=100)_累计值,98.1,108.3,108.7,109,109.2,109.1,109,110,110.1,110.2,110.1,110.4
云南,地区生产总值_累计值,5107.77,23223.75,16707.57,10796.33,5110.92,20880.63,14966.09,9589.97,4584.69,16531.34,10646.65,6447.81
云南,地区生产总值指数(上年同期=100)_累计值,95.7,108.1,108.8,109.2,109.7,108.9,109.1,109.2,109.3,109.5,109,109.5
西藏,地区生产总值_累计值,384.58,1697.82,1221.44,789.29,373.64,1548.39,1102.86,715.51,344.22,1310.63,939.51,555.41
西藏,地区生产总值指数(上年同期=100)_累计值,101,108.1,108.7,109,109.1,108.9,108.8,109.6,109.3,110,110.1,110.8
陕西,地区生产总值_累计值,5439.66,25793.17,18556.05,11990.81,5676.39,23941.88,17085.6,11051.47,5195.39,21898.81,15202.11,9581.1
陕西,地区生产总值指数(上年同期=100)_累计值,94.4,106,105.8,105.4,106.3,108.1,108.2,108.4,108.3,108,108.1,108.2
甘肃,地区生产总值_累计值,1908.27,8718.3,6272.1,4053,1918.66,8104.07,5898.97,3796.03,1752.59,7677,5641.46,2993.02
甘肃,地区生产总值指数(上年同期=100)_累计值,96.6,106.2,106.1,106,107.9,106.1,106.1,104.8,105.1,103.6,103.6,105
青海,地区生产总值_累计值,652.68,2965.95,2133.76,1378.82,652.73,2748,2008.73,1289.45,630.92,2642.8,1921.75,1204.3
青海,地区生产总值指数(上年同期=100)_累计值,97.9,106.3,105.7,105.7,105.7,107.1,106.7,105.8,107.1,107.3,107,107.6
宁夏,地区生产总值_累计值,808.13,3748.48,2696.72,1742.61,824.94,3510.21,2505.81,1619.2,747.94,3453.93,2449.57,1397.61
宁夏,地区生产总值指数(上年同期=100)_累计值,97.2,106.5,106.5,106.5,107.9,106.8,106.8,107.5,107.7,107.8,107.8,108.6
新疆,地区生产总值_累计值,3055.51,13597.11,9781.99,6321.07,2992.36,12809.39,9112.46,5884.34,2795.66,10920.09,7656.35,4362.98
新疆,地区生产总值指数(上年同期=100)_累计值,99.8,106.2,106.1,105.6,105.3,106.1,105.3,105.6,106.7,107.6,107.5,107.2
