省份,指标,2017C,2017D,2018A,2018B,2018C,2018D,2019A,2019B,2019C,2019D,2020A
河北省,农村居民人均消费支出_累计值,2385.906896,3077.087904,3089,2444,2598,3251.79791,3352.443853,2620.269227,2831.718752,3567.591668,3158.391875
山西省,居民人均可支配收入_累计值,5351.03604,5635.12825,5512,4634,5765,6079,5950.333458,5027.480012,6269.49233,6581.1495,6014.041318
山西省,城镇居民人均可支配收入_累计值,7667.25682,7673.25133,7746,6941,8176,8172,8274.299396,7437.235674,8807.31449,8743.51602,8372.552667
山西省,农村居民人均可支配收入_累计值,2849.965163,3209.075788,3051,2075,3098,3526,3332.376104,2291.426424,3399.363276,3879.197436,3328.475912
山西省,居民人均消费支出_累计值,3341.76278,3880.695871,3827,3231,3608,4144.12226,3980.724511,3415.310891,3930.784548,4535.75749,3811.710994
山西省,城镇居民人均消费支出_累计值,4680.402244,5081.67784,4971.458692,4430.541308,4986,5401.84092,5124.796556,4626.55985,5291.530264,6116.10654,4807.342098
山西省,农村居民人均消费支出_累计值,1896.286669,2461.308254,2566,1900,2084,2622.218123,2691.922565,2040.159295,2391.854369,2604.480034,2678.016025
内蒙古自治区,居民人均可支配收入_累计值,6836.74346,6890.83099,7714,5816,7372,7474,8309.496689,6238.841121,7914.20355,8092.48757,7844.152838
内蒙古自治区,城镇居民人均可支配收入_累计值,9247.33473,8730.79108,10031,8989,9890,9395,10735.56393,9561.26736,10511.0776,9974.55012,10068.91354
内蒙古自治区,农村居民人均可支配收入_累计值,3405.409408,4106.342503,4355,1216,3720,4512,4731.028174,1338.234848,4083.831668,5129.72138,4539.002707
内蒙古自治区,居民人均消费支出_累计值,4455.036564,5270.16675,5239,4396,4501,5529.22483,5414.481856,4676.569274,5058.74356,5593.62451,4722.85345
内蒙古自治区,城镇居民人均消费支出_累计值,5621.24582,6497.06285,6427.526376,5559.473624,5669,6781.05772,6603.870664,5893.599726,6252.47796,6632.59565,5688.336332
内蒙古自治区,农村居民人均消费支出_累计值,2795.007766,3441.690508,3515,2709,2808,3629.4791,3660.123882,2881.439207,3297.992179,3976.444152,3288.51228
辽宁省,居民人均可支配收入_累计值,6741.67466,6728.96342,8032,7305,7227,7137,8613.567146,7807.261184,7711.71307,7687.20704,8706.405556
辽宁省,城镇居民人均可支配收入_累计值,8671.11545,8732.81951,9585,9169,9298,9290,10303.06041,9785.96417,9824.14984,9864.02971,10197.23332
辽宁省,农村居民人均可支配收入_累计值,2977.852967,2694.58125,5029,3640,3183,2804,5336.863043,3905.883959,3578.094208,3287.45315,5795.273797
辽宁省,居民人均消费支出_累计值,4734.92796,5704.91854,5379,5083,4791,6145.3065,5534.351618,5174.424842,5177.50612,6316.56728,5020.087709
辽宁省,城镇居民人均消费支出_累计值,5884.18847,6989.28425,6632.492136,6431.507864,5856,7527.87395,6852.825886,6481.110704,6443.25761,7577.83773,6073.8794
辽宁省,农村居民人均消费支出_累计值,2493.02938,3113.34345,2953,2432,2711,3359.03808,2977.223901,2594.528359,2700.688448,3757.776692,2962.354056
吉林省,居民人均可支配收入_累计值,4676.435,6095.11434,6356,5029,5028,6385,6812.991441,5431.639349,5408.76907,6909.51077,7034.683979
吉林省,城镇居民人均可支配收入_累计值,6866.99476,7313.6328,7753,7289,7340,7790,8296.466378,7850.349802,7864.29455,8288.06872,8405.404943
