省份,指标,2017C,2017D,2018A,2018B,2018C,2018D,2019A,2019B,2019C,2019D,2020A
江西省,城镇居民人均可支配收入_累计值,7792.90311,8532.30509,8787,7335,8450,9247,9486.082074,7915.311696,9175.42871,9969.07565,9717.036774
江西省,农村居民人均可支配收入_累计值,3482.455549,4329.319415,3615,2313,3807,4725,3930.588656,2531.675373,4162.934061,5171.09315,4110.930025
江西省,居民人均消费支出_累计值,3289.751212,4494.038711,4126,3180,3691,4795.02134,4446.979149,3660.774439,4180.410742,5362.30594,4212.840536
江西省,城镇居民人均消费支出_累计值,4560.141804,5696.39339,5344.764831,4312.235169,5050,6053.01718,5619.175476,4957.163484,5520.84298,6617.08542,5170.762672
江西省,农村居民人均消费支出_累计值,2095.450961,3273.918408,2945,2084,2375,3481.1993,3277.2734,2367.141419,2842.885715,4009.406496,3243.2831
山东省,居民人均可支配收入_累计值,6772.97939,6349.85555,8159,6808,7364,6874,8817.627747,7341.032123,7995.28398,7443.03633,8879.61051
山东省,城镇居民人均可支配收入_累计值,9311.84565,9133.0243,10838,8901,10026,9784,11632.63022,9515.93874,10730.87221,10449.79234,11699.01644
山东省,农村居民人均可支配收入_累计值,3812.264695,2789.4942,4906,4266,4131,2994,5289.615702,4615.244953,4566.867165,3303.73184,5324.533078
山东省,居民人均消费支出_累计值,3969.582702,5145.59444,4951,3894,4338,5596.76988,5254.316672,4270.203465,4687.594683,6215.37442,4886.954772
山东省,城镇居民人均消费支出_累计值,5367.89141,6848.12794,6502.735485,5111.264515,5793,7391.37912,6803.4295,5584.97492,6163.50032,8179.58427,6281.58784
山东省,农村居民人均消费支出_累计值,2338.936789,2975.288317,3067,2415,2571,3217.12446,3312.830381,2622.414485,2837.895377,3535.749907,3128.418161
河南省,居民人均可支配收入_累计值,4962.200154,5800.92976,5657,4607,5387,6313,6143.799819,5001.300851,5905.07571,6852.49992,6285.801542
河南省,城镇居民人均可支配收入_累计值,7163.93223,7888.07619,8389,7281,7718,8486,9014.963967,7782.663783,8324.65282,9078.69031,9088.181472
河南省,农村居民人均可支配收入_累计值,3265.421911,3976.347418,3480,2476,3530,4345,3777.578242,2709.087228,3910.95503,4766.12658,3939.876711
河南省,居民人均消费支出_累计值,3161.709569,4000.573353,3905,3502,3546,4215.5021,4142.315821,3697.980423,3866.096766,4625.39981,3841.784184
河南省,城镇居民人均消费支出_累计值,4537.090197,5584.83675,5195.891076,4866.108924,5080,5847.15066,5406.096839,5066.419021,5221.59854,6277.45531,4895.954147
河南省,农村居民人均消费支出_累计值,2101.765654,2648.607269,2877,2414,2323,2778.01318,3100.791979,2570.204708,2748.949734,3126.043219,2959.318725
湖北省,居民人均可支配收入_累计值,5801.19415,6418.86926,7304,5237,6289,6985,7965.144444,5753.808726,6870.89978,7729.60436,7072.013195
湖北省,城镇居民人均可支配收入_累计值,7735.28649,7931.22962,9840,7671,8349,8595,10669.36767,8368.63048,9079.00341,9484.35802,9411.852695
湖北省,农村居民人均可支配收入_累计值,3465.979672,4466.449727,4175,2212,3738,4853,4548.160023,2422.478113,4069.241774,5350.98106,4085.312379
湖北省,居民人均消费支出_累计值,3952.603846,4618.61155,5286,4484,4306,5461.79439,5642.080667,4774.358683,5209.76065,5940.84838,4735.748003
湖北省,城镇居民人均消费支出_累计值,5093.09478,5599.6828,6453.865913,5574.134087,5271,6696.90522,6753.36009,5958.13899,6546.50155,7163.77159,5672.53853
湖北省,农村居民人均消费支出_累计值,2575.585587,3366.646956,3845,3129,3112,3860.26222,4237.897593,3266.781068,3513.720979,4309.62149,3539.976656
湖南省,居民人均可支配收入_累计值,5490.19942,6800.19354,6895,4905,6007,7434,7551.92412,5396.76542,6583.55026,8147.47032,7718.306622
湖南省,城镇居民人均可支配收入_累计值,8155.28774,9737.72292,9975,7364,8809,10550,10824.99806,8016.66876,9561.62354,11438.63493,10988.45779
湖南省,农村居民人均可支配收入_累计值,3053.231574,3864.321842,3972,2570,3347,4204,4326.852953,2815.287425,3649.288342,4603.36143,4450.687928
湖南省,居民人均消费支出_累计值,3977.137471,4934.95617,4921,4185,4299,5402.9429,5409.211517,4410.689371,4735.468952,5923.51186,5095.929136
湖南省,城镇居民人均消费支出_累计值,5702.13415,6077.12093,6471.987322,5760.012678,5979,6853.21415,7006.906046,6034.987914,6424.50065,7457.59054,6546.903739
湖南省,农村居民人均消费支出_累计值,2399.789465,3752.329148,3448,2691,2704,3877.54365,3834.948713,2810.213791,3071.283293,4252.307683,3646.078198
广东省,居民人均可支配收入_累计值,8830.89996,6948.53687,9962,8747,9592,7509,10813.78001,9508.67888,10432.48344,8259.33551,10955.83614
广东省,城镇居民人均可支配收入_累计值,10879.8163,8650.46992,12259,10975,11788,9319,13265.90623,11895.02137,12783.7648,10172.86081,13487.37878
广东省,农村居民人均可支配收入_累计值,4427.093761,3201.08425,4982,3890,4818,3478,5414.762027,4229.757419,5243.431084,3930.47228,5326.438135
广东省,居民人均消费支出_累计值,6093.24401,6606.98688,6597,6051,6402,7003.98177,7290.728127,6592.797773,7113.76334,7997.4254,6885.796302
广东省,城镇居民人均消费支出_累计值,7531.42735,7815.90053,7842.654193,7169.345807,7668,8244.30758,8655.447239,7836.153331,8550.47926,9382.04177,8077.833454
广东省,农村居民人均消费支出_累计值,3002.108423,3948.293546,3896,3614,3649,4252.30529,4285.930494,3841.877007,3943.071429,4878.55404,4235.060166
