房地产设备工器具购置投资_累计值,392.2478,257.4107,122.9595,0,1713.484,1574.4188,1437.5453,1295.4681,1136.5538,1003.759,849.9796,658.7468,500.4733,352.7897,189.3619,0,1524.5832,1275.7273,1165.1892,1054.1585,934.9859,817.4904,696.869,538.7746
房地产设备工器具购置投资_累计增长,-21.6,-27,-35.1,0,12.4,23.4,23.4,22.9,21.6,22.8,22,22.3,23,19.5,30.4,0,-1.7,-10.3,-10.1,-8.6,-7,-4.9,-2.7,2.9
房地产其它费用投资_累计值,12476.5478,8155.9923,3135.1727,0,48518.2714,45223.1054,40991.7692,36771.7955,31629.6872,27158.2152,23180.7171,16713.0092,12110.9306,8163.1458,3516.8002,0,42746.9356,39171.7896,35174.3402,31288.002,26588.189,22792.6631,19178.2329,13585.9707
房地产其它费用投资_累计增长,3,-0.1,-10.9,0,13.5,15.4,16.5,17.5,19,19.2,20.9,23,25.4,27.5,26.3,0,44.1,46.9,48.7,50.3,51.1,53.8,55.6,52.2
房地产土地购置费_累计值,10826.5423,7003.462,2639.5984,0,41675.3857,39300.2125,35650.9046,32011.8722,27570.7343,23603.8177,20164.0514,14505.3154,10401.3924,6931.6375,2911.1184,0,36387.009,33590.3121,30116.0401,26757.4642,22623.143,19353.3135,16235.8962,11400.7325
房地产土地购置费_累计增长,4.1,1,-9.3,0,14.5,17,18.4,19.6,21.9,22,24.2,27.2,29.7,32.6,34.5,0,57,60.5,63.4,66,66.9,72.3,74.4,69.3
房地产开发计划总投资_累计值,786510.8864,766028.8331,745155.9819,0,839883.1568,824596.783,805890.7009,790051.2867,773902.8827,760490.2719,743265.2815,720454.1976,702147.8483,681061.0074,659119.2592,0,740022.3296,727134.5633,707735.1779,692772.6206,675352.4458,660778.2057,645666.201,625427.4934
房地产开发计划总投资_累计增长,12,12.5,13.1,0,13.5,13.4,13.9,14,14.6,15.1,15.1,15.2,15.2,14.4,12.5,0,12.7,12.5,11.7,11.6,10.9,10.5,10.2,9.8
房地产开发新增固定资产投资_累计值,9396.6222,7726.4935,4896.0935,0,43009.5705,28135.8649,24150.6411,20765.9673,18510.484,16734.3731,14782.136,12261.9687,10395.0158,8583.0516,5980.5413,0,37017.7236,25943.6885,22260.4293,19960.5771,18402.6881,16755.9486,14962.5546,12381.6237
房地产开发新增固定资产投资_累计增长,-9.6,-10,-18.1,0,16.2,8.4,8.5,4,0.6,-0.1,-1.2,-1,-0.6,-2.4,-2.2,0,-5.7,-11.2,-12.6,-10.7,-9.2,-9.5,-8.9,-7.8
