指标,202004,202003,202002,202001,201912,201911,201910,201909,201908,201907,201906,201905,201904,201903,201902,201901,201812,201811,201810,201809,201808,201807,201806,201805,201804,201803,201802,201801,201712,201711,201710,201709,201708,201707,201706,201705
服装鞋帽、针、纺织品类商品零售类值_当期值,798.7,689,0,0,1490.5,1427,1153.2,1058.4,946,934.1,1091.4,1044.1,1000.1,1081.2,0,0,1540.54204,1417.5,1215.8,1085.2,954.2,961.1,1099.9,1053.4,1057.5,1061.1,0,0,1664.2,1560.8,1381.3,1223.8,1069.8,1059.6,1220.4,1159.1
服装鞋帽、针、纺织品类商品零售类值_累计值,3057,2251.9,1534,0,13516.6,12016,10623.7,9479.4,8426.9,7498.7,6560.3,5458.9,4418.1,3422.6,2332,0,13706.54888,12197.6,10793.6,9581.4,8521.2,7601.9,6650.9,5564.1,4520.9,3450.6,2397,0,14556.6,13252.5,11882.5,10533.7,9313.5,8237.4,7171.7,5944.9
服装鞋帽、针、纺织品类商品零售类值_同比增长,-18.5,-34.8,0,0,1.9,4.6,-0.8,3.6,5.2,2.9,5.2,4.1,-1.1,6.6,0,0,7.4,5.5,4.7,9,7,8.7,10,6.6,9.2,14.8,0,0,9.7,9.5,8,6.2,8.9,6.4,7.3,8
服装鞋帽、针、纺织品类商品零售类值_累计增长,-29,-32.2,-30.9,0,2.9,3,2.8,3.3,3.2,3,3,2.6,2.2,3.3,1.8,0,8.010323449,8.1,8.4,8.9,8.9,9.2,9.2,9.1,9.7,9.8,7.7,0,7.8,7.6,7.3,7.2,7.3,7.2,7.3,7.2
服装类商品零售类值_当期值,556.9,478,0,0,1084.8,1037.6,852.9,761,674.8,660.5,767.9,747.8,717.5,774,0,0,1132.95709,1027.7,889.8,772.6,671.3,676.3,769.3,741.4,753,752.7,0,0,1210.7,1114.7,993.5,855.3,741.2,732.8,831.3,808.9
服装类商品零售类值_累计值,2167.2,1604.3,1103.1,0,9778.1,8684.2,7675.2,6828.4,6072.7,5415.9,4749.7,3974,3226.5,2510,1727.7,0,9870.40583,8757.2,7742.8,6858.6,6102.5,5462,4791.9,4028.9,3294.2,2522.3,1773.2,0,10356.4,9357.7,8371,7394.6,6544,5798.1,5063.2,4228.3
服装类商品零售类值_同比增长,-20.7,-36.9,0,0,0.7,5,-0.3,3.3,5.6,1.9,4.7,5,-1.1,6.3,0,0,7.3,5.6,4.9,9.7,7.5,9.1,11.9,7,8.8,15.8,0,0,10.8,10.2,8.9,7,9.5,6.7,6.4,8
服装类商品零售类值_累计增长,-31.3,-34.3,-33.2,0,2.6,2.9,2.6,3,2.9,2.6,2.7,2.3,1.7,2.6,1,0,8.548396309,8.7,9.1,9.7,9.7,10,10.1,9.8,10.5,11,9.1,0,8,7.6,7.3,7.1,7.1,6.8,6.8,6.9
化妆品类商品零售类值_当期值,223.6,249.5,0,0,279.6,330.6,233.7,255,231.9,201.7,265.2,233.9,210,280.8,0,0,247.18178,280,218.2,222.1,203.1,184.4,217.2,201.3,196.3,248.9,0,0,261.5,282.1,219.8,221.8,200.1,183.6,214.6,196.1
化妆品类商品零售类值_累计值,876,636.3,387.1,0,2992.2,2707.9,2381.6,2150.7,1893.3,1666.2,1461.8,1195,961.9,752.9,451,0,2618.97936,2374.7,2094.1,1868.3,1653.9,1455.9,1276.2,1057.3,855.7,668.5,422.2,0,2513.7,2285.2,2015.8,1806.2,1588.6,1384.9,1202.9,980.2
化妆品类商品零售类值_同比增长,3.5,-11.6,0,0,11.9,16.8,6.2,13.4,12.8,9.4,22.5,16.7,6.7,14.4,0,0,1.9,4.4,6.4,7.7,7.8,7.8,11.5,10.3,15.1,22.7,0,0,13.8,21.4,16.1,13.4,14.7,12.7,17,12.9
化妆品类商品零售类值_累计增长,-9.4,-13.2,-14.1,0,12.6,12.7,12.1,12.8,12.7,12.7,13.2,11.3,10,10.9,8.9,0,9.647671246,10.5,11.4,12,12.6,13.3,14.2,14.8,15.9,16.1,12.5,0,13.5,13.5,12.5,12.1,11.9,11.5,11.3,10.1
金银珠宝类商品零售类值_当期值,154.7,147.2,0,0,267.9,212,198.6,204.7,212.4,174.9,217.9,220.1,185.5,218.2,0,0,275.66264,230.1,222.7,235.8,243.5,193.9,220.6,226.8,202.7,236.2,0,0,309.4,253.8,255.7,252.9,244.8,207.1,244.6,251.1
金银珠宝类商品零售类值_累计值,582.8,429.1,277.2,0,2605.8,2337.1,2133.9,1938,1734.8,1529.2,1353.8,1135.9,912.6,724.8,505,0,2758.30003,2494.2,2264.2,2044.1,1811.1,1574.1,1383.3,1166.4,939.4,746.7,509.1,0,2969.5,2702.4,2481,2230.4,1972.1,1737.8,1527.7,1279.9
金银珠宝类商品零售类值_同比增长,-12.1,-30.1,0,0,3.7,-1.1,-4.5,-6.6,-7,-1.6,7.8,4.7,0.4,-1.2,0,0,2.3,5.6,4.7,11.6,14.1,8.2,7.9,6.7,5.9,20.4,0,0,0.4,4.4,2.5,5.3,6.4,2.6,6.3,9.6
金银珠宝类商品零售类值_累计增长,-32.5,-37.7,-41.1,0,0.4,0,0.1,0.6,1.5,2.9,3.5,2.7,2.2,2.6,4.4,0,7.449763875,8.1,8.3,8.7,8.3,7.5,7.4,7.3,7.5,7.9,3,0,5.6,6.2,6.4,6.9,7.1,7.2,7.9,8.2
日用品类商品零售类值_当期值,471,467.3,0,0,615.6,643.1,505.9,534.1,503.9,462.4,522.9,449.2,438.2,470.8,0,0,544.54588,537.7,447.5,477.9,449.4,411.9,469.8,408,393.4,423.5,0,0,556.6,545.4,494.5,494.7,463.3,445.3,498.3,444
日用品类商品零售类值_累计值,1787.3,1319.5,837.2,0,6111.2,5488.6,4845,4337.9,3791,3293.9,2826.4,2298,1850.6,1410.2,937,0,5391.73642,4854,4308.6,3860.4,3391,2937.5,2538.8,2065.8,1655.6,1266.5,848.1,0,5511.7,5076.9,4592.4,4107.2,3601.1,3139.8,2689.2,2180
